stop_id,stop_skip_rate,stop_count
9022001000185001,0.0,48
9022001000187001,0.0,231
9022001000188001,0.0,134
9022001000193001,0.0,137
9022001000201001,0.0,196
9022001000202001,0.0,193
9022001000203001,0.0,166
9022001000204001,0.0,183
9022001000206001,0.0,39
9022001000207001,0.0,40
9022001000208001,0.0,41
9022001000209001,0.0,86
9022001000210001,0.0,42
9022001000211001,0.0,34
9022001000212001,0.0,32
9022001000213001,0.0,36
9022001000214001,0.0,38
9022001000215001,0.0,3
9022001000218001,0.0,17
9022001000219001,0.0,34
9022001000220001,0.0,90
9022001000221001,0.0,55
9022001000222001,0.0,60
9022001000223001,0.0,51
9022001000224001,0.0,63
9022001000225001,0.0,66
9022001000226001,0.0,53
9022001000227001,0.0,52
9022001000228001,0.0,53
9022001000229001,0.0,41
9022001000230001,0.0,41
9022001000231001,0.0,61
9022001000237001,0.0,94
9022001000243001,0.0,166
9022001000257001,0.0,6
9022001000269001,0.0,79
9022001000277001,0.0,136
9022001000279001,0.0,158
9022001000301001,0.0,349
9022001000301002,0.0,10
9022001000301003,0.0,54
9022001000301004,0.0,53
9022001000301005,0.0,37
9022001000301006,0.0,17
9022001000301007,0.0,26
9022001000301009,0.0,32
9022001000301010,0.0,32
9022001000301012,0.0,18
9022001000301014,0.0,33
9022001000301017,0.0,14
9022001000306001,0.0,398
9022001000401001,0.0,268
9022001000401004,0.0,260
9022001000401005,0.0,266
9022001000401006,0.0,251
9022001000401007,0.0,16
9022001000401008,0.0,48
9022001000401009,0.0,40
9022001000401010,0.0,45
9022001000402001,0.0,252
9022001000403001,0.0,246
9022001000404001,0.0,111
9022001000405001,0.0,90
9022001000406001,0.0,88
9022001000407001,0.0,267
9022001000408001,0.0,508
9022001000409001,0.0,188
9022001000410001,0.0,221
9022001000411001,0.0,450
9022001000413001,0.0,150
9022001000414001,0.0,471
9022001000418001,0.0,90
9022001000419001,0.0,532
9022001000420001,0.0,408
9022001000421001,0.0,165
9022001000422001,0.0,111
9022001000423001,0.0,105
9022001000424001,0.0,106
9022001000425001,0.0,107
9022001000426001,0.0,129
9022001000427001,0.0,138
9022001000428001,0.0,232
9022001000429001,0.0,422
9022001000430001,0.0,222
9022001000431001,0.0,211
9022001000432001,0.0,212
9022001000433001,0.0,281
9022001000440001,0.0,21
9022001000501001,0.0,47
9022001000502001,0.0,44
9022001000503001,0.0,47
9022001000504001,0.0,52
9022001000505001,0.0,42
9022001000506001,0.0,45
9022001000507001,0.0,52
9022001000508001,0.0,44
9022001000509001,0.0,44
9022001000510001,0.0,54
9022001000511001,0.0,54
9022001000512001,0.0,48
9022001000513001,0.0,57
9022001000514001,0.0,6
9022001000515001,0.0,105
9022001000520001,0.0,18
9022001000521001,0.0,15
9022001000522001,0.0,16
9022001000523001,0.0,15
9022001000524001,0.0,18
9022001000525001,0.0,116
9022001000526001,0.0,139
9022001000527001,0.0,133
9022001000528001,0.0,60
9022001000529001,0.0,74
9022001000530001,0.0,118
9022001000531001,0.0,20
9022001000532001,0.0,20
9022001000533001,0.0,2
9022001000534001,0.0,23
9022001000535001,0.0,9
9022001000536001,0.0,9
9022001000537001,0.0,22
9022001000538001,0.0,10
9022001000539001,0.0,204
9022001000540001,0.0,182
9022001000545001,0.0,15
9022001000550001,0.0,3
9022001000552001,0.0,9
9022001000553001,0.0,7
9022001000554001,0.0,9
9022001000555001,0.0,95
9022001000556001,0.0,64
9022001000601001,0.0,92
9022001000602001,0.0,126
9022001000603001,0.0,124
9022001000604001,0.0,135
9022001000702001,0.0,49
9022001000801001,0.0,81
9022001000802001,0.0,66
9022001000803001,0.0,64
9022001000804001,0.0,64
9022001000805001,0.0,62
